badWord,year,count
fuck,2019,32
shit,2018,15
kiss,2015,13
fuck,2013,11
fuck,2016,10
shit,2012,9
man,2015,9
shit,2009,9
damn,2009,8
shit,2013,8
kiss,2010,8
man,2019,8
damn,2015,8
fuck,2017,8
man,2007,8
damn,2019,8
kiss,2019,8
shit,2019,7
shit,2017,7
man,2016,7
damn,2006,6
shit,2016,6
kiss,2014,6
damn,2007,6
damn,2008,6
man,2011,5
damn,2018,5
shit,2006,5
fuck,2012,4
fuck,2007,4
fuck,2014,4
damn,2013,4
kiss,2018,4
fuck,2006,4
kiss,2017,4
kiss,2012,4
damn,2017,4
shit,2010,3
damn,2016,3
shit,2011,3
kiss,2002,3
man,2003,3
man,2004,3
damn,2011,3
fuck,2010,3
man,2013,3
man,2018,3
damn,2012,2
shit,2005,2
damn,2010,2
damn,2014,2
man,2010,2
man,2012,2
man,2006,2
kiss,2016,2
fuck,2018,2
fuck,2011,2
fuck,2015,2
man,2014,1
shit,2002,1
man,2001,1
fuck,2005,1
fuck,2008,1
kiss,2008,1
fuck,2009,1
shit,2014,1
shit,2015,1
damn,2003,1
